Number,Name,Type1,Type2
144,Moltres,fire,flying
145,Dratini,dragon,none
146,Dragonair,dragon,none
147,Dragonite,dragon,flying
148,Mewtwo,psychic,none
149,Mew,psychic,none
150,Chikorita,grass,none
151,Bayleef,grass,none
152,Meganium,grass,none
153,Cyndaquil,fire,none
154,Quilava,fire,none
155,Typhlosion,fire,none
156,Totodile,water,none
157,Croconaw,water,none
158,Feraligatr,water,none
159,Sentret,normal,none
160,Furret,normal,none
161,Hoothoot,normal,flying
162,Noctowl,normal,flying
163,Ledyba,bug,flying
164,Ledian,bug,flying
165,Spinarak,bug,poison
166,Ariados,bug,poison
167,Crobat,poison,flying
168,Chinchou,water,electric
169,Lanturn,water,electric
170,Pichu,electric,none
171,Cleffa,fairy,none
172,Igglybuff,normal,fairy
173,Togepi,fairy,none
174,Togetic,fairy,flying
175,Natu,psychic,flying
176,Xatu,psychic,flying
177,Mareep,electric,none
178,Flaaffy,electric,none
179,Ampharos,electric,none
180,Bellossom,grass,none
181,Marill,water,fairy
182,Azumarill,water,fairy
183,Sudowoodo,rock,none
184,Politoed,water,none
185,Hoppip,grass,flying
186,Skiploom,grass,flying
187,Jumpluff,grass,flying
188,Aipom,normal,none
189,Sunkern,grass,none
190,Sunflora,grass,none
191,Yanma,bug,flying
192,Wooper,water,ground
193,Quagsire,water,ground
194,Espeon,psychic,none
195,Umbreon,dark,none
196,Murkrow,dark,flying
197,Slowking,water,psychic
198,Misdreavus,ghost,none
199,Unown,psychic,none
200,Wobbuffet,psychic,none
201,Girafarig,normal,psychic
202,Pineco,bug,none
203,Forretress,bug,steel
204,Dunsparce,normal,none
205,Gligar,ground,flying
206,Steelix,steel,ground
207,Snubbull,fairy,none
208,Granbull,fairy,none
209,Qwilfish,water,poison
210,Scizor,bug,steel
211,Shuckle,bug,rock
212,Heracross,bug,fighting
213,Sneasel,dark,ice
214,Teddiursa,normal,none
215,Ursaring,normal,none
216,Slugma,fire,none
217,Magcargo,fire,rock
218,Swinub,ice,ground
219,Piloswine,ice,ground
220,Corsola,water,rock
221,Remoraid,water,none
222,Octillery,water,none
223,Delibird,ice,flying
224,Mantine,water,flying
225,Skarmory,steel,flying
226,Houndour,dark,fire
227,Houndoom,dark,fire
228,Kingdra,water,dragon
229,Phanpy,ground,none
230,Donphan,ground,none
231,Porygon2,normal,none
232,Stantler,normal,none
233,Smeargle,normal,none
234,Tyrogue,fighting,none
235,Hitmontop,fighting,none
236,Smoochum,ice,psychic
237,Elekid,electric,none
238,Magby,fire,none
239,Miltank,normal,none
240,Blissey,normal,none
241,Raikou,electric,none
242,Entei,fire,none
243,Suicune,water,none
244,Larvitar,rock,ground
245,Pupitar,rock,ground
246,Tyranitar,rock,dark
247,Lugia,psychic,flying
248,Ho-oh,fire,flying
249,Celebi,psychic,grass
250,Treecko,grass,none
251,Grovyle,grass,none
252,Sceptile,grass,none
253,Torchic,fire,none
254,Combusken,fire,fighting
255,Blaziken,fire,fighting
256,Mudkip,water,none
257,Marshtomp,water,ground
258,Swampert,water,ground
259,Poochyena,dark,none
260,Mightyena,dark,none
261,Zigzagoon,normal,none
262,Linoone,normal,none
263,Wurmple,bug,none
264,Silcoon,bug,none
265,Beautifly,bug,flying
266,Cascoon,bug,none
267,Dustox,bug,poison
268,Lotad,water,grass
269,Lombre,water,grass
270,Ludicolo,water,grass
271,Seedot,grass,none
272,Nuzleaf,grass,dark
273,Shiftry,grass,dark
274,Taillow,normal,flying
275,Swellow,normal,flying
276,Wingull,water,flying
277,Pelipper,water,flying
278,Ralts,psychic,fairy
279,Kirlia,psychic,fairy
280,Gardevoir,psychic,fairy
281,Surskit,bug,water
282,Masquerain,bug,flying
283,Shroomish,grass,none
284,Breloom,grass,fighting
285,Slakoth,normal,none
286,Vigoroth,normal,none
287,Slaking,normal,none
288,Nincada,bug,ground
289,Ninjask,bug,flying
290,Shedinja,bug,ghost
291,Whismur,normal,none
292,Loudred,normal,none
293,Exploud,normal,none
294,Makuhita,fighting,none
295,Hariyama,fighting,none
296,Azurill,normal,fairy
297,Nosepass,rock,none
298,Skitty,normal,none
299,Delcatty,normal,none
300,Sableye,dark,ghost
301,Mawile,steel,fairy
302,Aron,steel,rock
303,Lairon,steel,rock
304,Aggron,steel,rock
305,Meditite,fighting,psychic
306,Medicham,fighting,psychic
307,Electrike,electric,none
308,Manectric,electric,none
309,Plusle,electric,none
310,Minun,electric,none
311,Volbeat,bug,none
312,Illumise,bug,none
313,Roselia,grass,poison
314,Gulpin,poison,none
315,Swalot,poison,none
316,Carvanha,water,dark
317,Sharpedo,water,dark
318,Wailmer,water,none
319,Wailord,water,none
320,Numel,fire,ground
321,Camerupt,fire,ground
322,Torkoal,fire,none
323,Spoink,psychic,none
324,Grumpig,psychic,none
325,Spinda,normal,none
326,Trapinch,ground,none
327,Vibrava,ground,dragon
328,Flygon,ground,dragon
329,Cacnea,grass,none
330,Cacturne,grass,dark
331,Swablu,normal,flying
332,Altaria,dragon,flying
333,Zangoose,normal,none
334,Seviper,poison,none
335,Lunatone,rock,psychic
336,Solrock,rock,psychic
337,Barboach,water,ground
338,Whiscash,water,ground
339,Corphish,water,none
340,Crawdaunt,water,dark
341,Baltoy,ground,psychic
342,Claydol,ground,psychic
343,Lileep,rock,grass
344,Cradily,rock,grass
345,Anorith,rock,bug
346,Armaldo,rock,bug
347,Feebas,water,none
348,Milotic,water,none
349,Castform,normal,none
350,Kecleon,normal,none
351,Shuppet,ghost,none
352,Banette,ghost,none
353,Duskull,ghost,none
354,Dusclops,ghost,none
355,Tropius,grass,flying
356,Chimecho,psychic,none
357,Absol,dark,none
358,Wynaut,psychic,none
359,Snorunt,ice,none
360,Glalie,ice,none
361,Spheal,ice,water
362,Sealeo,ice,water
363,Walrein,ice,water
364,Clamperl,water,none
365,Huntail,water,none
366,Gorebyss,water,none
367,Relicanth,water,rock
368,Luvdisc,water,none
369,Bagon,dragon,none
370,Shelgon,dragon,none
371,Salamence,dragon,flying
372,Beldum,steel,psychic
373,Metang,steel,psychic
374,Metagross,steel,psychic
375,Regirock,rock,none
376,Regice,ice,none
377,Registeel,steel,none
378,Latias,dragon,psychic
379,Latios,dragon,psychic
380,Kyogre,water,none
381,Groudon,ground,none
382,Rayquaza,dragon,flying
383,Jirachi,steel,psychic
384,Deoxys,psychic,none
385,Turtwig,grass,none
386,Grotle,grass,none
387,Torterra,grass,ground
388,Chimchar,fire,none
389,Monferno,fire,fighting
390,Infernape,fire,fighting
391,Piplup,water,none
392,Prinplup,water,none
393,Empoleon,water,steel
394,Starly,normal,flying
395,Staravia,normal,flying
396,Staraptor,normal,flying
397,Bidoof,normal,none
398,Bibarel,normal,water
399,Kricketot,bug,none
400,Kricketune,bug,none
401,Shinx,electric,none
402,Luxio,electric,none
403,Luxray,electric,none
404,Budew,grass,poison
405,Roserade,grass,poison
406,Cranidos,rock,none
407,Rampardos,rock,none
408,Shieldon,rock,steel
409,Bastiodon,rock,steel
410,Burmy,bug,none
411,Wormadam,bug,grass
412,Mothim,bug,flying
413,Combee,bug,flying
414,Vespiquen,bug,flying
415,Pachirisu,electric,none
416,Buizel,water,none
417,Floatzel,water,none
418,Cherubi,grass,none
419,Cherrim,grass,none
420,Shellos,water,none
421,Gastrodon,water,ground
422,Ambipom,normal,none
423,Drifloon,ghost,flying
424,Drifblim,ghost,flying
425,Buneary,normal,none
426,Lopunny,normal,none
427,Mismagius,ghost,none
428,Honchkrow,dark,flying
429,Glameow,normal,none
430,Purugly,normal,none
431,Chingling,psychic,none
432,Stunky,poison,dark
433,Skuntank,poison,dark
434,Bronzor,steel,psychic
435,Bronzong,steel,psychic
436,Bonsly,rock,none
437,Mime-Jr,psychic,fairy
438,Happiny,normal,none
439,Chatot,normal,flying
440,Spiritomb,ghost,dark
441,Gible,dragon,ground
442,Gabite,dragon,ground
443,Garchomp,dragon,ground
444,Munchlax,normal,none
445,Riolu,fighting,none
446,Lucario,fighting,steel
447,Hippopotas,ground,none
448,Hippowdon,ground,none
449,Skorupi,poison,bug
450,Drapion,poison,dark
451,Croagunk,poison,fighting
452,Toxicroak,poison,fighting
453,Carnivine,grass,none
454,Finneon,water,none
455,Lumineon,water,none
456,Mantyke,water,flying
457,Snover,grass,ice
458,Abomasnow,grass,ice
459,Weavile,dark,ice
460,Magnezone,electric,steel
461,Lickilicky,normal,none
462,Rhyperior,ground,rock
463,Tangrowth,grass,none
464,Electivire,electric,none
465,Magmortar,fire,none
466,Togekiss,fairy,flying
467,Yanmega,bug,flying
468,Leafeon,grass,none
469,Glaceon,ice,none
470,Gliscor,ground,flying
471,Mamoswine,ice,ground
472,Porygon-Z,normal,none
473,Gallade,psychic,fighting
474,Probopass,rock,steel
475,Dusknoir,ghost,none
476,Froslass,ice,ghost
477,Rotom,electric,ghost
478,Uxie,psychic,none
479,Mesprit,psychic,none
480,Azelf,psychic,none
481,Dialga,steel,dragon
482,Palkia,water,dragon
483,Heatran,fire,steel
484,Regigigas,normal,none
485,Giratina,ghost,dragon
486,Cresselia,psychic,none
487,Phione,water,none
488,Manaphy,water,none
489,Darkrai,dark,none
490,Shaymin,grass,none
491,Arceus,normal,none
492,Victini,psychic,fire
493,Snivy,grass,none
494,Servine,grass,none
495,Serperior,grass,none
496,Tepig,fire,none
497,Pignite,fire,fighting
498,Emboar,fire,fighting
499,Oshawott,water,none
500,Dewott,water,none
501,Samurott,water,none
502,Patrat,normal,none
503,Watchog,normal,none
504,Lillipup,normal,none
505,Herdier,normal,none
506,Stoutland,normal,none
507,Purrloin,dark,none
508,Liepard,dark,none
509,Pansage,grass,none
510,Simisage,grass,none
511,Pansear,fire,none
512,Simisear,fire,none
513,Panpour,water,none
514,Simipour,water,none
515,Munna,psychic,none
516,Musharna,psychic,none
517,Pidove,normal,flying
518,Tranquill,normal,flying
519,Unfezant,normal,flying
520,Blitzle,electric,none
521,Zebstrika,electric,none
522,Roggenrola,rock,none
523,Boldore,rock,none
524,Gigalith,rock,none
525,Woobat,psychic,flying
526,Swoobat,psychic,flying
527,Drilbur,ground,none
528,Excadrill,ground,steel
529,Audino,normal,none
530,Timburr,fighting,none
531,Gurdurr,fighting,none
532,Conkeldurr,fighting,none
533,Tympole,water,none
534,Palpitoad,water,ground
535,Seismitoad,water,ground
536,Throh,fighting,none
537,Sawk,fighting,none
538,Sewaddle,bug,grass
539,Swadloon,bug,grass
540,Leavanny,bug,grass
541,Venipede,bug,poison
542,Whirlipede,bug,poison
543,Scolipede,bug,poison
544,Cottonee,grass,fairy
545,Whimsicott,grass,fairy
546,Petilil,grass,none
547,Lilligant,grass,none
548,Basculin,water,none
549,Sandile,ground,dark
550,Krokorok,ground,dark
551,Krookodile,ground,dark
552,Darumaka,fire,none
553,Darmanitan,fire,none
554,Maractus,grass,none
555,Dwebble,bug,rock
556,Crustle,bug,rock
557,Scraggy,dark,fighting
558,Scrafty,dark,fighting
559,Sigilyph,psychic,flying
560,Yamask,ghost,none
561,Cofagrigus,ghost,none
562,Tirtouga,water,rock
563,Carracosta,water,rock
564,Archen,rock,flying
565,Archeops,rock,flying
566,Trubbish,poison,none
567,Garbodor,poison,none
568,Zorua,dark,none
569,Zoroark,dark,none
570,Minccino,normal,none
571,Cinccino,normal,none
572,Gothita,psychic,none
573,Gothorita,psychic,none
574,Gothitelle,psychic,none
575,Solosis,psychic,none
576,Duosion,psychic,none
577,Reuniclus,psychic,none
578,Ducklett,water,flying
579,Swanna,water,flying
580,Vanillite,ice,none
581,Vanillish,ice,none
582,Vanilluxe,ice,none
583,Deerling,normal,grass
584,Sawsbuck,normal,grass
585,Emolga,electric,flying
586,Karrablast,bug,none
587,Escavalier,bug,steel
588,Foongus,grass,poison
589,Amoonguss,grass,poison
590,Frillish,water,ghost
591,Jellicent,water,ghost
592,Alomomola,water,none
593,Joltik,bug,electric
594,Galvantula,bug,electric
595,Ferroseed,grass,steel
596,Ferrothorn,grass,steel
597,Klink,steel,none
598,Klang,steel,none
599,Klinklang,steel,none
600,Tynamo,electric,none
601,Eelektrik,electric,none
602,Eelektross,electric,none
603,Elgyem,psychic,none
604,Beheeyem,psychic,none
605,Litwick,ghost,fire
606,Lampent,ghost,fire
607,Chandelure,ghost,fire
608,Axew,dragon,none
609,Fraxure,dragon,none
610,Haxorus,dragon,none
611,Cubchoo,ice,none
612,Beartic,ice,none
613,Cryogonal,ice,none
614,Shelmet,bug,none
615,Accelgor,bug,none
616,Stunfisk,ground,electric
617,Mienfoo,fighting,none
618,Mienshao,fighting,none
619,Druddigon,dragon,none
620,Golett,ground,ghost
621,Golurk,ground,ghost
622,Pawniard,dark,steel
623,Bisharp,dark,steel
624,Bouffalant,normal,none
625,Rufflet,normal,flying
626,Braviary,normal,flying
627,Vullaby,dark,flying
628,Mandibuzz,dark,flying
629,Heatmor,fire,none
630,Durant,bug,steel
631,Deino,dark,dragon
632,Zweilous,dark,dragon
633,Hydreigon,dark,dragon
634,Larvesta,bug,fire
635,Volcarona,bug,fire
636,Cobalion,steel,fighting
637,Terrakion,rock,fighting
638,Virizion,grass,fighting
639,Tornadus,flying,none
640,Thundurus,electric,flying
641,Reshiram,dragon,fire
642,Zekrom,dragon,electric
643,Landorus,ground,flying
644,Kyurem,dragon,ice
645,Keldeo,water,fighting
646,Meloetta,normal,psychic
647,Genesect,bug,steel
648,Chespin,grass,none
649,Quilladin,grass,none
650,Chesnaught,grass,fighting
651,Fennekin,fire,none
652,Braixen,fire,none
653,Delphox,fire,psychic
654,Froakie,water,none
655,Frogadier,water,none
656,Greninja,water,dark
657,Bunnelby,normal,none
658,Diggersby,normal,ground
659,Fletchling,normal,flying
660,Fletchinder,fire,flying
661,Talonflame,fire,flying
662,Scatterbug,bug,none
663,Spewpa,bug,none
664,Vivillon,bug,flying
665,Litleo,fire,normal
666,Pyroar,fire,normal
667,Flabebe,fairy,none
668,Floette,fairy,none
669,Florges,fairy,none
670,Skiddo,grass,none
671,Gogoat,grass,none
672,Pancham,fighting,none
673,Pangoro,fighting,dark
674,Furfrou,normal,none
675,Espurr,psychic,none
676,Meowstic,psychic,none
677,Honedge,steel,ghost
678,Doublade,steel,ghost
679,Aegislash,steel,ghost
680,Spritzee,fairy,none
681,Aromatisse,fairy,none
682,Swirlix,fairy,none
683,Slurpuff,fairy,none
684,Inkay,dark,psychic
685,Malamar,dark,psychic
686,Binacle,rock,water
687,Barbaracle,rock,water
688,Skrelp,poison,water
689,Dragalge,poison,dragon
690,Clauncher,water,none
691,Clawitzer,water,none
692,Helioptile,electric,normal
693,Heliolisk,electric,normal
694,Tyrunt,rock,dragon
695,Tyrantrum,rock,dragon
696,Amaura,rock,ice
697,Aurorus,rock,ice
698,Sylveon,fairy,none
699,Hawlucha,fighting,flying
700,Dedenne,electric,fairy
701,Carbink,rock,fairy
702,Goomy,dragon,none
703,Sliggoo,dragon,none
704,Goodra,dragon,none
705,Klefki,steel,fairy
706,Phantump,ghost,grass
707,Trevenant,ghost,grass
708,Pumpkaboo,ghost,grass
709,Gourgeist,ghost,grass
710,Bergmite,ice,none
711,Avalugg,ice,none
712,Noibat,flying,dragon
713,Noivern,flying,dragon
714,Xerneas,fairy,none
715,Yveltal,dark,flying
716,Zygarde,dragon,ground
717,Diancie,rock,fairy
718,Hoopa,psychic,ghost
719,Volcanion,fire,water
720,Rowlet,grass,flying
721,Dartrix,grass,flying
722,Decidueye,grass,ghost
723,Litten,fire,none
724,Torracat,fire,none
725,Incineroar,fire,dark
726,Popplio,water,none
727,Brionne,water,none
728,Primarina,water,fairy
729,Pikipek,normal,flying
730,Trumbeak,normal,flying
731,Toucannon,normal,flying
732,Yungoos,normal,none
733,Gumshoos,normal,none
734,Grubbin,bug,none
735,Charjabug,bug,electric
736,Vikavolt,bug,electric
737,Crabrawler,fighting,none
738,Crabominable,fighting,ice
739,Oricorio,fire,flying
740,Cutiefly,bug,fairy
741,Ribombee,bug,fairy
742,Rockruff,rock,none
743,Lycanroc,rock,none
744,Wishiwashi,water,none
745,Mareanie,poison,water
746,Toxapex,poison,water
747,Mudbray,ground,none
748,Mudsdale,ground,none
749,Dewpider,water,bug
750,Araquanid,water,bug
751,Fomantis,grass,none
752,Lurantis,grass,none
753,Morelull,grass,fairy
754,Shiinotic,grass,fairy
755,Salandit,poison,fire
756,Salazzle,poison,fire
757,Stufful,normal,fighting
758,Bewear,normal,fighting
759,Bounsweet,grass,none
760,Steenee,grass,none
761,Tsareena,grass,none
762,Comfey,fairy,none
763,Oranguru,normal,psychic
764,Passimian,fighting,none
765,Wimpod,bug,water
766,Golisopod,bug,water
767,Sandygast,ghost,ground
768,Palossand,ghost,ground
769,Pyukumuku,water,none
770,Type-Null,normal,none
771,Silvally,normal,none
772,Minior,rock,flying
773,Komala,normal,none
774,Turtonator,fire,dragon
775,Togedemaru,electric,steel
776,Mimikyu,ghost,fairy
777,Bruxish,water,psychic
778,Drampa,normal,dragon
779,Dhelmise,ghost,grass
780,Jangmo-o,dragon,none
781,Hakamo-o,dragon,fighting
782,Kommo-o,dragon,fighting
783,Tapu-Koko,electric,fairy
784,Tapu-Lele,psychic,fairy
785,Tapu-Bulu,grass,fairy
786,Tapu-Fini,water,fairy
787,Cosmog,psychic,none
788,Cosmoem,psychic,none
789,Solgaleo,psychic,steel
790,Lunala,psychic,ghost
791,Nihilego,rock,poison
792,Buzzwole,bug,fighting
793,Pheromosa,bug,fighting
794,Xurkitree,electric,none
795,Celesteela,steel,flying
796,Kartana,grass,steel
797,Guzzlord,dark,dragon
798,Necrozma,psychic,none
799,Magearna,steel,fairy
800,Marshadow,fighting,ghost
801,Poipole,poison,none
802,Naganadel,poison,dragon
803,Stakataka,rock,steel
804,Blacephalon,fire,ghost
805,Zeraora,electric,none
806,Meltan,steel,none
807,Melmetal,steel,none
808,Grookey,grass,none
809,Thwackey,grass,none
810,Rillaboom,grass,none
811,Scorbunny,fire,none
812,Raboot,fire,none
813,Cinderace,fire,none
814,Sobble,water,none
815,Drizzile,water,none
816,Inteleon,water,none
817,Skwovet,normal,none
818,Greedent,normal,none
819,Rookidee,flying,none
820,Corvisquire,flying,none
821,Corviknight,flying,steel
822,Blipbug,bug,none
823,Dottler,bug,psychic
824,Orbeetle,bug,psychic
825,Nickit,dark,none
826,Thievul,dark,none
827,Gossifleur,grass,none
828,Eldegoss,grass,none
829,Wooloo,normal,none
830,Dubwool,normal,none
831,Chewtle,water,none
832,Drednaw,water,rock
833,Yamper,electric,none
834,Boltund,electric,none
835,Rolycoly,rock,none
836,Carkol,rock,fire
837,Coalossal,rock,fire
838,Applin,grass,dragon
839,Flapple,grass,dragon
840,Appletun,grass,dragon
841,Silicobra,ground,none
842,Sandaconda,ground,none
843,Cramorant,flying,water
844,Arrokuda,water,none
845,Barraskewda,water,none
846,Toxel,electric,poison
847,Toxtricity,electric,poison
848,Sizzlipede,fire,bug
849,Centiskorch,fire,bug
850,Clobbopus,fighting,none
851,Grapploct,fighting,none
852,Sinistea,ghost,none
853,Polteageist,ghost,none
854,Hatenna,psychic,none
855,Hattrem,psychic,none
856,Hatterene,psychic,fairy
857,Impidimp,dark,fairy
858,Morgrem,dark,fairy
859,Grimmsnarl,dark,fairy
860,Obstagoon,dark,normal
861,Perrserker,steel,none
862,Cursola,ghost,none
863,Sirfetchd,fighting,none
864,Mr-Rime,ice,psychic
865,Runerigus,ground,ghost
866,Milcery,fairy,none
867,Alcremie,fairy,none
868,Falinks,fighting,none
869,Pincurchin,electric,none
870,Snom,ice,bug
871,Frosmoth,ice,bug
872,Stonjourner,rock,none
873,Eiscue,ice,none
874,Indeedee,psychic,normal
875,Morpeko,electric,dark
876,Cufant,steel,none
877,Copperajah,steel,none
878,Dracozolt,electric,dragon
879,Arctozolt,electric,ice
880,Dracovish,water,dragon
881,Arctovish,water,ice
882,Duraludon,steel,dragon
883,Dreepy,dragon,ghost
884,Drakloak,dragon,ghost
885,Dragapult,dragon,ghost
886,Zacian,fairy,none
887,Zamazenta,fighting,none
888,Eternatus,poison,dragon
889,Kubfu,fighting,none
890,Urshifu,fighting,dark
891,Zarude,dark,grass
892,Regieleki,electric,none
893,Regidrago,dragon,none
894,Glastrier,ice,none
895,Spectrier,ghost,none
896,Calyrex,psychic,grass
897,Wyrdeer,normal,psychic
898,Kleavor,bug,rock
899,Ursaluna,ground,normal
900,Basculegion,water,ghost
901,Sneasler,fighting,poison
902,Overqwil,dark,poison
903,Enamorus,fairy,flying
904,Sprigatito,grass,none
905,Floragato,grass,none
906,Meowscarada,grass,dark
907,Fuecoco,fire,none
908,Crocalor,fire,none
909,Skeledirge,fire,ghost
910,Quaxly,water,none
911,Quaxwell,water,none
912,Quaquaval,water,fighting
913,Lechonk,normal,none
914,Oinkologne,normal,none
915,Tarountula,bug,none
916,Spidops,bug,none
917,Nymble,bug,none
918,Lokix,bug,dark
919,Pawmi,electric,none
920,Pawmo,electric,fighting
921,Tandemaus,normal,none
922,Maushold,normal,none
923,Fidough,fairy,none
924,Dachsbun,fairy,none
925,Smoliv,grass,normal
926,Dolliv,grass,normal
927,Arboliva,grass,normal
928,Squawkabilly,normal,flying
929,Nacli,rock,none
930,Naclstack,rock,none
931,Garganacl,rock,none
932,Charcadet,fire,none
933,Armarouge,fire,psychic
934,Ceruledge,fire,ghost
935,Tadbulb,electric,none
936,Bellibolt,electric,none
937,Wattrel,electric,flying
938,Kilowattrel,electric,flying
939,Maschiff,dark,none
940,Mabosstiff,dark,none
941,Shroodle,poison,normal
942,Grafaiai,poison,normal
943,Bramblin,grass,ghost
944,Brambleghast,grass,ghost
945,Toedscool,ground,grass
946,Toedscruel,ground,grass
947,Klawf,rock,none
948,Capsakid,grass,none
949,Scovillain,grass,fire
950,Rellor,bug,none
951,Rabsca,bug,psychic
952,Flittle,psychic,none
953,Espathra,psychic,none
954,Tinkatink,fairy,steel
955,Tinkatuff,fairy,steel
956,Tinkaton,fairy,steel
957,Wiglett,water,none
958,Wugtrio,water,none
959,Bombirdier,flying,dark
960,Finizen,water,none
961,Palafin,water,none
962,Varoom,steel,poison
963,Revavroom,steel,poison
964,Cyclizar,dragon,normal
965,Orthworm,steel,none
966,Glimmet,rock,poison
967,Glimmora,rock,poison
968,Greavard,ghost,none
969,Houndstone,ghost,none
970,Flamigo,flying,fighting
971,Cetoddle,ice,none
972,Cetitan,ice,none
973,Veluza,water,psychic
974,Dondozo,water,none
975,Tatsugiri,dragon,water
976,Annihilape,fighting,ghost
977,Clodsire,poison,ground
978,Farigiraf,normal,psychic
979,Dudunsparce,normal,none
980,Kingambit,dark,steel
981,Great-Tusk,ground,fighting
982,Scream-Tail,fairy,psychic
983,Brute-Bonnet,grass,dark
984,Flutter-Mane,ghost,fairy
985,Slither-Wing,bug,fighting
986,Sandy-Shocks,electric,ground
987,Iron-Treads,ground,steel
988,Iron-Bundle,ice,water
989,Iron-Hands,fighting,electric
990,Iron-Jugulis,dark,flying
991,Iron-Moth,fire,poison
992,Iron-Thorns,rock,electric
993,Frigibax,dragon,ice
994,Arctibax,dragon,ice
995,Baxcalibur,dragon,ice
996,Gimmighoul,ghost,none
997,Gholdengo,steel,ghost
998,Wo-Chien,dark,grass
999,Chien-Pao,dark,ice
1000,Ting-Lu,dark,ground
1001,Chi-Yu,dark,fire
1002,Roaring-Moon,dragon,dark
1003,Iron-Valiant,fairy,fighting
1004,Koraidon,fighting,dragon
1005,Miraidon,electric,dragon
1006,Walking-Wake,water,dragon
1007,Iron-Leaves,grass,psychic
1008,Dipplin,grass,dragon
1009,Poltchageist,grass,ghost
1010,Sinistcha,grass,ghost
1011,Okidogi,poison,fighting
1012,Munkidori,poison,psychic
1013,Fezandipiti,poison,fairy
1014,Ogerpon,grass,none
1015,Archaludon,steel,dragon
1016,Hydrapple,grass,dragon
1017,Gouging-Fire,fire,dragon
1018,Raging-Bolt,electric,dragon
1019,Iron-Boulder,rock,psychic
1020,Iron-Crown,steel,psychic
1021,Terapagos,normal,none
1022,Pecharunt,poison,ghost
